,accommodates,price
304,4,299.0
305,2,50.0
306,5,175.0
307,2,125.0
308,4,120.0
309,2,99.0
310,1,129.0
311,4,195.0
312,4,250.0
313,3,150.0
314,4,175.0
315,2,110.0
316,2,90.0
317,2,95.0
318,3,65.0
319,4,150.0
320,2,125.0
321,2,206.0
322,4,245.0
323,5,200.0
324,2,129.0
325,4,97.0
326,4,250.0
327,3,140.0
328,2,89.0
329,2,138.0
330,2,120.0
331,2,100.0
332,2,32.0
333,4,150.0
334,2,139.0
335,4,230.0
336,2,150.0
337,1,90.0
338,6,300.0
339,4,110.0
340,2,90.0
341,4,250.0
342,2,85.0
343,5,118.0
344,3,130.0
345,4,140.0
346,2,150.0
347,5,225.0
348,2,65.0
349,4,90.0
350,2,200.0
351,2,90.0
352,2,150.0
353,2,150.0
354,2,150.0
355,2,80.0
356,4,139.0
357,4,232.0
358,2,140.0
359,2,78.0
360,4,69.0
361,2,69.0
362,3,125.0
363,2,140.0
364,4,120.0
365,4,213.0
366,2,140.0
367,2,70.0
368,2,150.0
369,2,90.0
370,5,150.0
371,2,125.0
372,4,225.0
373,2,135.0
374,4,336.0
375,2,129.0
376,2,125.0
377,2,95.0
378,4,100.0
379,2,120.0
380,2,79.0
381,4,453.0
382,4,105.0
383,2,105.0
384,2,99.0
385,2,90.0
386,2,100.0
387,2,139.0
388,2,120.0
389,2,99.0
390,2,175.0
391,4,250.0
392,4,140.0
393,4,129.0
394,2,150.0
395,2,135.0
396,2,115.0
397,2,40.0
398,2,100.0
399,9,170.0
400,2,140.0
401,2,85.0
402,2,85.0
403,4,150.0
404,5,145.0
405,5,150.0
406,5,150.0
407,6,205.0
408,4,110.0
409,4,350.0
410,4,170.0
411,4,325.0
412,2,87.0
413,3,125.0
414,4,250.0
415,4,139.0
416,2,99.0
417,2,140.0
418,2,147.0
419,2,175.0
420,2,199.0
421,4,245.0
422,3,180.0
423,2,125.0
424,2,100.0
425,2,69.0
426,4,214.0
427,2,149.0
428,2,150.0
429,2,295.0
430,4,90.0
431,4,250.0
432,2,80.0
433,2,65.0
434,3,108.0
435,2,89.0
436,2,114.0
437,3,175.0
438,2,90.0
439,2,70.0
440,4,240.0
441,6,337.0
442,2,95.0
443,2,85.0
444,4,120.0
445,2,175.0
446,2,129.0
447,3,95.0
448,4,150.0
