,price,accommodates,review_scores_rating,gemiddelde WOZ-waarde,Gemiddelde Airbnb Prijs
504,90,2,87.0,459254,140.3130970724191
505,85,3,94.0,459254,140.3130970724191
506,75,3,96.0,459254,140.3130970724191
507,120,3,100.0,459254,140.3130970724191
508,275,4,94.0,459254,140.3130970724191
509,125,2,95.0,459254,140.3130970724191
510,75,2,94.0,459254,140.3130970724191
511,70,2,80.0,459254,140.3130970724191
512,100,4,94.0,459254,140.3130970724191
513,100,4,95.0,459254,140.3130970724191
514,106,2,99.0,459254,140.3130970724191
515,220,4,98.0,459254,140.3130970724191
516,110,4,100.0,459254,140.3130970724191
517,139,3,95.0,459254,140.3130970724191
518,100,3,95.0,459254,140.3130970724191
519,180,5,92.0,459254,140.3130970724191
520,53,2,96.0,459254,140.3130970724191
521,120,2,100.0,459254,140.3130970724191
522,115,2,94.0,459254,140.3130970724191
523,250,6,95.0,459254,140.3130970724191
524,225,4,90.0,459254,140.3130970724191
525,120,2,88.0,459254,140.3130970724191
526,86,2,96.0,459254,140.3130970724191
527,48,3,90.0,459254,140.3130970724191
528,249,4,97.0,459254,140.3130970724191
529,80,2,97.0,459254,140.3130970724191
530,320,6,95.0,459254,140.3130970724191
531,200,4,97.0,459254,140.3130970724191
532,125,2,97.0,459254,140.3130970724191
533,200,5,,459254,140.3130970724191
534,130,2,97.0,459254,140.3130970724191
535,170,4,98.0,459254,140.3130970724191
536,225,4,98.0,459254,140.3130970724191
537,125,4,,459254,140.3130970724191
538,125,5,90.0,459254,140.3130970724191
539,100,3,88.0,459254,140.3130970724191
540,75,2,97.0,459254,140.3130970724191
541,100,2,,459254,140.3130970724191
542,90,2,100.0,459254,140.3130970724191
543,180,4,,459254,140.3130970724191
544,113,2,97.0,459254,140.3130970724191
545,225,5,80.0,459254,140.3130970724191
546,200,4,96.0,459254,140.3130970724191
547,209,4,98.0,459254,140.3130970724191
548,90,2,98.0,459254,140.3130970724191
549,134,4,99.0,459254,140.3130970724191
550,170,5,90.0,459254,140.3130970724191
551,150,5,100.0,459254,140.3130970724191
552,120,2,67.0,459254,140.3130970724191
553,150,4,100.0,459254,140.3130970724191
554,89,2,98.0,459254,140.3130970724191
555,175,2,94.0,459254,140.3130970724191
556,70,2,100.0,459254,140.3130970724191
557,220,4,98.0,459254,140.3130970724191
558,130,3,95.0,459254,140.3130970724191
559,74,2,88.0,459254,140.3130970724191
560,110,4,98.0,459254,140.3130970724191
561,86,2,94.0,459254,140.3130970724191
562,140,4,100.0,459254,140.3130970724191
563,98,2,96.0,459254,140.3130970724191
564,175,4,91.0,459254,140.3130970724191
565,115,4,98.0,459254,140.3130970724191
566,75,3,97.0,459254,140.3130970724191
567,109,3,97.0,459254,140.3130970724191
568,160,3,95.0,459254,140.3130970724191
569,180,4,98.0,459254,140.3130970724191
570,135,4,,459254,140.3130970724191
571,85,4,95.0,459254,140.3130970724191
572,173,4,100.0,459254,140.3130970724191
573,120,2,97.0,459254,140.3130970724191
574,139,2,92.0,459254,140.3130970724191
575,99,2,,459254,140.3130970724191
576,75,2,94.0,459254,140.3130970724191
577,145,2,97.0,459254,140.3130970724191
578,195,5,100.0,459254,140.3130970724191
579,266,4,100.0,459254,140.3130970724191
580,100,2,93.0,459254,140.3130970724191
581,155,2,95.0,459254,140.3130970724191
582,96,2,100.0,459254,140.3130970724191
583,120,2,97.0,459254,140.3130970724191
584,120,3,95.0,459254,140.3130970724191
585,145,2,99.0,459254,140.3130970724191
586,99,3,91.0,459254,140.3130970724191
587,65,2,92.0,459254,140.3130970724191
588,95,3,97.0,459254,140.3130970724191
589,130,4,98.0,459254,140.3130970724191
590,90,2,90.0,459254,140.3130970724191
591,115,4,98.0,459254,140.3130970724191
592,69,2,95.0,459254,140.3130970724191
593,400,4,98.0,459254,140.3130970724191
594,135,4,97.0,459254,140.3130970724191
595,119,2,98.0,459254,140.3130970724191
596,170,4,100.0,459254,140.3130970724191
597,50,4,100.0,459254,140.3130970724191
598,445,6,100.0,459254,140.3130970724191
599,220,4,100.0,459254,140.3130970724191
600,145,2,98.0,459254,140.3130970724191
601,190,6,96.0,459254,140.3130970724191
602,175,4,,459254,140.3130970724191
603,180,4,98.0,459254,140.3130970724191
604,195,2,,459254,140.3130970724191
605,200,4,97.0,459254,140.3130970724191
606,100,2,97.0,459254,140.3130970724191
607,175,4,80.0,459254,140.3130970724191
608,185,2,96.0,459254,140.3130970724191
609,200,4,96.0,459254,140.3130970724191
610,290,4,100.0,459254,140.3130970724191
611,110,4,94.0,459254,140.3130970724191
612,170,4,98.0,459254,140.3130970724191
613,250,6,100.0,459254,140.3130970724191
614,109,2,100.0,459254,140.3130970724191
615,50,4,,459254,140.3130970724191
616,195,4,87.0,459254,140.3130970724191
617,150,5,95.0,459254,140.3130970724191
618,100,2,88.0,459254,140.3130970724191
619,95,2,100.0,459254,140.3130970724191
620,105,2,97.0,459254,140.3130970724191
621,114,2,80.0,459254,140.3130970724191
622,150,4,,459254,140.3130970724191
623,140,2,97.0,459254,140.3130970724191
624,90,4,96.0,459254,140.3130970724191
625,175,2,97.0,459254,140.3130970724191
626,90,2,,459254,140.3130970724191
627,180,2,87.0,459254,140.3130970724191
628,245,4,98.0,459254,140.3130970724191
629,77,1,94.0,459254,140.3130970724191
630,119,2,95.0,459254,140.3130970724191
631,91,2,99.0,459254,140.3130970724191
632,140,2,99.0,459254,140.3130970724191
633,155,4,98.0,459254,140.3130970724191
634,90,2,93.0,459254,140.3130970724191
635,90,2,98.0,459254,140.3130970724191
636,398,16,94.0,459254,140.3130970724191
637,150,4,100.0,459254,140.3130970724191
638,75,4,94.0,459254,140.3130970724191
639,100,3,100.0,459254,140.3130970724191
640,80,2,72.0,459254,140.3130970724191
641,99,2,100.0,459254,140.3130970724191
642,140,2,100.0,459254,140.3130970724191
643,95,2,97.0,459254,140.3130970724191
644,55,2,,459254,140.3130970724191
645,60,1,97.0,459254,140.3130970724191
646,180,6,97.0,459254,140.3130970724191
647,110,2,97.0,459254,140.3130970724191
648,85,4,100.0,459254,140.3130970724191
649,220,4,89.0,459254,140.3130970724191
650,73,2,96.0,459254,140.3130970724191
651,79,2,97.0,459254,140.3130970724191
652,120,4,100.0,459254,140.3130970724191
653,135,4,98.0,459254,140.3130970724191
654,125,4,90.0,459254,140.3130970724191
655,180,4,100.0,459254,140.3130970724191
656,160,4,97.0,459254,140.3130970724191
657,110,2,96.0,459254,140.3130970724191
658,130,4,98.0,459254,140.3130970724191
659,95,4,96.0,459254,140.3130970724191
660,149,4,,459254,140.3130970724191
661,140,4,96.0,459254,140.3130970724191
